less|util|661|103K|GNU pager|util-less-661.zip|core
pv|util|1.8.14|30K|Pipe progress meter|util-pv-1.8.14.zip|core
msmtp|net|1.8.25|45K|Lightweight SMTP client|util-msmtp-1.8.25.zip|none
cscope|dev|15.9|169K|C cross-reference database|util-cscope-15.9.zip|none
pkg-config|dev|2.3.0|34K|Library compile flags (pkgconf)|util-pkg-config-2.3.0.zip|none
tree|util|2.0.2|28K|Directory tree listing|util-tree-2.0.2.zip|none
socat|net|1.8.0.0|128K|Socket relay and serial bridge|util-socat-1.8.0.0.zip|none
dos2unix|util|7.5.2|15K|CRLF to LF conversion|util-dos2unix-7.5.2.zip|none
unix2dos|util|7.5.2|15K|LF to CRLF conversion|util-unix2dos-7.5.2.zip|none
zstd|archive|1.5.6|338K|Zstandard compress/decompress|util-zstd-1.5.6.zip|core
watch|sys|3.3.17|10K|Re-run command periodically|util-watch-3.3.17.zip|none
logrotate|sys|3.21.0|55K|Rotate log files|util-logrotate-3.21.0.zip|none
minisign|security|0.10|152K|Sign and verify files (libsodium)|util-minisign-0.10.zip|none
free|sys|1.0|4.6K|Memory summary (pidin fallback)|util-free-1.0.zip|none
xxd|util|9.1|9.6K|Hex dump (from vim)|util-xxd-9.1.zip|core
iperf3|net|3.17.1|54K|Network throughput test|util-iperf3-3.17.1.zip|none
entr|util|5.6|9.3K|Re-run command when files change|util-entr-5.6.zip|none
ctags|dev|6.2.1|565K|Generate tag index for editors|util-ctags-6.2.1.zip|none
unifdef|dev|2.12|13K|Strip ifdef blocks from source|util-unifdef-2.12.zip|none
7za|archive|16.02|954K|7-Zip archiver CLI|util-7za-16.02.zip|none
7z|archive|16.02|477K|Symlink to 7za|util-7z-16.02.zip|none
unrar|archive|7.1.4|154K|Extract RAR archives|util-unrar-7.1.4.zip|none
doscat|util|1.0|3.2K|CP437 DOS text to UTF-8 via recode|util-doscat-1.0.zip|none
lha|archive|1.0|43K|LHA/LZH archive tool|util-lha-1.0.zip|none
lrz|net|0.12|32K|ZMODEM receive|util-lrz-0.12.zip|none
lsz|net|0.12|34K|ZMODEM send|util-lsz-0.12.zip|none
rz|net|0.12|32K|ZMODEM receive (alias)|util-rz-0.12.zip|none
sz|net|0.12|34K|ZMODEM send (alias)|util-sz-0.12.zip|none
rx|net|0.12|32K|XMODEM receive|util-rx-0.12.zip|none
sx|net|0.12|34K|XMODEM send|util-sx-0.12.zip|none
lrx|net|0.12|32K|ZMODEM receive (l)|util-lrx-0.12.zip|none
lsx|net|0.12|34K|ZMODEM send (l)|util-lsx-0.12.zip|none
lrzsz|net|0.12|32K|ZMODEM tools meta|util-lrzsz-0.12.zip|none
rb|net|0.12|32K|YMODEM receive|util-rb-0.12.zip|none
sb|net|0.12|34K|YMODEM send|util-sb-0.12.zip|none
mtools|util|4.0|72K|FAT floppy/disk image ops|util-mtools-4.0.zip|none
mcopy|util|4.0|72K|Copy files to/from FAT image|util-mcopy-4.0.zip|none
mdir|util|4.0|72K|List FAT directory|util-mdir-4.0.zip|none
mtype|util|4.0|72K|Display file from FAT image|util-mtype-4.0.zip|none
mcat|util|4.0|72K|Cat file from FAT image|util-mcat-4.0.zip|none
